我和我的家乡,剧情／喜剧,2020-10-01
姜子牙,动画／动作／冒险,2020-10-01
八佰,剧情／战争／历史,2020-08-21
夺冠,剧情,2020-09-25
我在时间尽头等你,爱情／奇幻／喜剧,2020-08-25
花木兰,剧情／冒险,2020-09-11
一点就到家,青春,2020-10-04
急先锋,动作／冒险／喜剧,2020-09-30
木兰：横空出世,动画／喜剧／动作,2020-10-03
信条,科幻／动作／剧情,2020-09-04
再见吧！少年,剧情,2020-10-05
我和我的祖国,剧情,2019-09-30
哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
熊出没·狂野大陆,喜剧／科幻／动画,2020-08-01
唐人街探案2,喜剧／动作／悬疑,2018-02-16
我的女友是机器人,爱情／喜剧,2020-09-11
哈利·波特与魔法石,奇幻／冒险,2002-01-26
少年的你,爱情／青春／剧情,2019-10-25
紫罗兰永恒花园 电影版,剧情／动画,2020-09-18
误杀,剧情／犯罪,2019-12-13
蓝色防线,纪录片／战争／历史,2020-09-18
鬼灭之刃 兄妹的羁绊,动作／动画／惊悚／奇幻,2019-03-29
战狼2,动作／战争,2017-07-27
麦路人,剧情,2020-09-17
命运之夜——天之杯3：春之歌,剧情／动画／奇幻,2020-08-15
荞麦疯长,剧情／爱情,2020-08-25
花木兰,剧情／动画／家庭／冒险,1999-02-23
小妇人,爱情／剧情,2020-08-25
冰雪奇缘2,喜剧／动画／冒险,2019-11-22
疯狂的外星人,剧情／喜剧／科幻,2019-02-05
我和我的家乡,剧情／喜剧,2020-10-01
姜子牙,动画／动作／冒险,2020-10-01
八佰,剧情／战争／历史,2020-08-21
夺冠,剧情,2020-09-25
我在时间尽头等你,爱情／奇幻／喜剧,2020-08-25
花木兰,剧情／冒险,2020-09-11
一点就到家,青春,2020-10-04
急先锋,动作／冒险／喜剧,2020-09-30
木兰：横空出世,动画／喜剧／动作,2020-10-03
信条,科幻／动作／剧情,2020-09-04
再见吧！少年,剧情,2020-10-05
我和我的祖国,剧情,2019-09-30
哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
熊出没·狂野大陆,喜剧／科幻／动画,2020-08-01
唐人街探案2,喜剧／动作／悬疑,2018-02-16
我的女友是机器人,爱情／喜剧,2020-09-11
哈利·波特与魔法石,奇幻／冒险,2002-01-26
少年的你,爱情／青春／剧情,2019-10-25
紫罗兰永恒花园 电影版,剧情／动画,2020-09-18
误杀,剧情／犯罪,2019-12-13
蓝色防线,纪录片／战争／历史,2020-09-18
鬼灭之刃 兄妹的羁绊,动作／动画／惊悚／奇幻,2019-03-29
战狼2,动作／战争,2017-07-27
麦路人,剧情,2020-09-17
命运之夜——天之杯3：春之歌,剧情／动画／奇幻,2020-08-15
荞麦疯长,剧情／爱情,2020-08-25
花木兰,剧情／动画／家庭／冒险,1999-02-23
小妇人,爱情／剧情,2020-08-25
冰雪奇缘2,喜剧／动画／冒险,2019-11-22
疯狂的外星人,剧情／喜剧／科幻,2019-02-05
